fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_correct_shift,dopamine_wrong_shift,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.26526857983811625,0.022626931567328923,0.5312499999999999,0.033997252747252765
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.2300588668138337,0.0267844002943341,0.4065934065934066,0.043956043956043994
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.24676232523914643,0.04580573951434881,0.532967032967033,0.03296703296703296
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.2224613686534217,0.0213944076526858,0.5531593406593407,0.015521978021978022
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.2733259749816041,0.03395879323031642,0.40384615384615385,0.04120879120879126
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.30110375275938195,0.0190213392200147,0.44663461538461535,0.09031593406593416
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.2227373068432671,0.00393671817512882,0.4766483516483516,0.023351648351648407
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.28018763796909496,0.009510669610007377,0.3622939560439561,0.005837912087912178
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.2636865342163356,0.04323031640912435,0.5398351648351647,0.026098901098901228
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.32720750551876376,0.008406916850625445,0.35480769230769227,0.0026098901098901006
20,0.0,500,4,3,10,500,3,1.0,5,0.15,20,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.23313097866077997,0.03099705665930831,0.440934065934066,0.08379120879120888
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.1985835172921266,0.007450331125827811,0.5206043956043955,0.00686813186813201
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3081125827814569,0.004323031640912439,0.5008928571428569,0.012843406593406548
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.23101545253863132,0.01589403973509934,0.5397664835164834,0.025755494505494525
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.25642016188373806,0.004874908020603308,0.5344780219780221,0.023076923076923165
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.2612398822663724,0.044131714495952906,0.42472527472527477,0.07857142857142871
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3196467991169978,0.0643855776306107,0.3483516483516484,0.1780219780219781
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.22722590139808682,0.00025754231052241283,0.5453296703296704,0.028846153846153855
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.23589036055923474,0.013484179543782226,0.5632554945054946,6.868131868131844e-05
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.28669977924944823,0.013815305371596781,0.3516483516483516,0.0
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.30178440029433407,0.09435246504782929,0.26785714285714285,0.06730769230769225
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.26821192052980136,0.04065489330389996,0.4605082417582418,0.11366758241758249
20,0.0,500,4,3,10,500,3,2.0,3,0.15,18,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3038999264164827,0.08318616629874909,0.38598901098901106,0.21016483516483522
20,0.0,500,4,3,10,500,3,2.0,5,0.15,20,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.33257910228108906,0.002924944812361996,0.36002747252747247,0.004120879120879106
20,0.0,500,4,3,10,500,3,2.0,5,0.15,20,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3814385577630611,0.0009749816041207116,0.35989010989010983,0.0
20,0.0,500,4,3,10,500,3,2.0,5,0.15,20,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3116077998528329,0.06598601913171447,0.35171703296703294,0.008310439560439559
